,business_city,business_state,business_street1,business_street2,business_zip,cik,firm_name,mailing_city,mailing_state,mailing_street1,mailing_street2,mailing_zip
8652,LIMA 33,R5,CALLE LA COLONIA 150,URBANIZACION EL VIVERO SURCO,00000,0001221029,CEMENTOS PACASMAYO SAA,LIMA 33,R5,CALLE LA COLONIA 150,URBANIZACION EL VIVERO SURCO,00000
8653,BELTSVILLE,MD,"9000 VIRGINIA MANOR ROAD, SUITE 200",,20705,0001661059,"NextCure, Inc.",BELTSVILLE,MD,"9000 VIRGINIA MANOR ROAD, SUITE 200",,20705
8654,WALTHAM,MA,"230 THIRD AVE., 6TH FLOOR",,02451,0001868734,"CinCor Pharma, Inc.",WALTHAM,MA,"230 THIRD AVE., 6TH FLOOR",,02451
8655,SAINT-HERBLAIN,I0,"6, RUE ALAIN BOMBARD",,44800,0001836564,Valneva SE,SAINT-HERBLAIN,I0,"6, RUE ALAIN BOMBARD",,44800
8656,WINTER HAVEN,FL,"1101 FIRST STREET SOUTH, SUITE 202",,33880,0000764038,SouthState Corp,WINTER HAVEN,FL,"1101 FIRST STREET SOUTH, SUITE 202",,33880
8657,CHICOUTIMI,A8,30 RACINE STREET EAST,SUITE 160,H3B 3J6,0001421570,ARIANNE PHOSPHATE INC.,CHICOUTIMI,A8,30 RACINE STREET EAST,SUITE 160,H3B 3J6
8658,WAYNE,PA,435 DEVON PARK ROAD,SUITE 824,19087,0000862668,ESCALON MEDICAL CORP,WAYNE,PA,435 DEVON PARK ROAD,SUITE 824,19087
8659,NORTH SYDNEY,C3,140 ARTHUR STREET,"SUITE 5.03, LEVEL 5",NSW 2060,0001896084,ioneer Ltd,NORTH SYDNEY,C3,140 ARTHUR STREET,"SUITE 5.03, LEVEL 5",NSW 2060
8660,WALNUT,CA,618 BREA CANYON RD. STE A,,91789,0001569083,"MAKINGORG, INC.",WALNUT,CA,618 BREA CANYON RD. STE A,,91789
8661,,,,,,0001702750,"BYLINE BANCORP, INC.",CHICAGO,IL,"180 NORTH LASALLE STREET, SUITE 300",,60601
8662,CAMBRIDGE,MA,500 TECHNOLOGY SQUARE,SUITE 700,02139,0001822462,Foghorn Therapeutics Inc.,CAMBRIDGE,MA,500 TECHNOLOGY SQUARE,SUITE 700,02139
8663,LAS VEGAS,NV,2801 S. VALLEY VIEW BLVD,SUITE 7-1,89102,0001791929,"DISCOUNT PRINT USA, INC.",LAS VEGAS,NV,2801 S. VALLEY VIEW BLVD,SUITE 7-1,89102
8664,NEWPORT BEACH,CA,"4630 CAMPUS DRIVE, SUITE 104",,92660,0001481585,"Galexxy Holdings, Inc.",NEWPORT BEACH,CA,"4630 CAMPUS DRIVE, SUITE 104",,92660
8665,IRVING,TX,545 EAST JOHN CARPENTER FREEWAY,SUITE 700,75062,0001142417,"NEXSTAR MEDIA GROUP, INC.",IRVING,TX,545 EAST JOHN CARPENTER FREEWAY,SUITE 700,75062
8666,NEW YORK,NY,140 BROADWAY,28TH FLOOR,10005,0001681348,VivoPower International PLC,NEW YORK,NY,140 BROADWAY,28TH FLOOR,10005
8667,"GUANGDONG PROVINCE,",F4,49F GUANGZHOU CTF FINANCE CENTRE,"NO.6 ZHUJIANG EAST ROAD, GUANGZHOU",510623,0001731899,"CORNERSTONE MANAGEMENT, INC.","GUANGDONG PROVINCE,",F4,49F GUANGZHOU CTF FINANCE CENTRE,"NO.6 ZHUJIANG EAST ROAD, GUANGZHOU",510623
8668,REDWOOD CITY,CA,203 REDWOOD PARKWAY,SUITE 600,94065,0001630113,BIOTRICITY INC.,REDWOOD CITY,CA,203 REDWOOD PARKWAY,SUITE 600,94065
8669,VANCOUVER,A1,1050-400 BURRARD STREET,,V6C3A6,0001759352,Contact Gold Corp.,VANCOUVER,A1,1050-400 BURRARD STREET,,V6C3A6
8670,NEW YORK,NY,"1330 AVENUE OF THE AMERICAS, 38TH FLOOR",,10019,0001549966,Silvercrest Asset Management Group Inc.,NEW YORK,NY,"1330 AVENUE OF THE AMERICAS, 38TH FLOOR",,10019
8671,LEAWOOD,KS,ONE AMC WAY,11500 ASH STREET,66211,0001411579,"AMC ENTERTAINMENT HOLDINGS, INC.",LEAWOOD,KS,ONE AMC WAY,11500 ASH STREET,66211
8672,TEMPE,AZ,2045 EAST INNOVATION CIRCLE,,85284,0001047127,"AMKOR TECHNOLOGY, INC.",TEMPE,AZ,2045 EAST INNOVATION CIRCLE,,85284
8673,DALLAS,TX,"200 CRESCENT COURT, SUITE 1900",,75201,0001818089,Bluescape Opportunities Acquisition Corp.,DALLAS,TX,"200 CRESCENT COURT, SUITE 1900",,75201
8674,PALO ALTO,CA,"2625 MIDDLEFIELD ROAD, #990",,94306,0001856689,Sanaby Health Acquisition Corp. I,PALO ALTO,CA,"2625 MIDDLEFIELD ROAD, #990",,94306
8675,SAN FRANCISCO,CA,315 MONTGOMERY STREET,10TH FLOOR,94104,0001781929,"GameWorks, Inc.",SAN FRANCISCO,CA,315 MONTGOMERY STREET,10TH FLOOR,94104
8676,BUENOS AIRES,C1,JUANA MANSO 999,,C1107CBR,0001703141,"Despegar.com, Corp.",BUENOS AIRES,C1,JUANA MANSO 999,,C1107CBR
8677,TORONTO,A6,"25 YORK STREET, SUITE 800",,M5J 2V5,0001322422,Hudbay Minerals Inc.,TORONTO,A6,"25 YORK STREET, SUITE 800",,M5J 2V5
8678,ALLENTOWN,PA,1940 AIR PRODUCTS BLVD.,,18106-5500,0000002969,"Air Products & Chemicals, Inc.",ALLENTOWN,PA,1940 AIR PRODUCTS BLVD.,,18106-5500
8679,HAMPTON,VA,1 WEST MELLEN ST,,23663,0000740971,OLD POINT FINANCIAL CORP,HAMPTON,VA,1 WEST MELLEN ST,,23663
8680,DALLAS,TX,5430 LBJ FREEWAY,SUITE 1700,75240-2620,0001257640,KRONOS WORLDWIDE INC,DALLAS,TX,5430 LBJ FREEWAY,SUITE 1700,75240-2620
8681,WACO,TX,7215 BOSQUE BLVD,SUITE 102,76710,0001410738,Voip-pal.com Inc,WACO,TX,7215 BOSQUE BLVD,SUITE 102,76710
8682,PURCHASE,NY,2000 PURCHASE STREET,,10577,0001141391,Mastercard Inc,PURCHASE,NY,2000 PURCHASE STREET,,10577
8683,DENVER,CO,3801 EAST FLORIDA AVE.,SUITE 400,80210,0000869531,Advantego Corp,DENVER,CO,3801 EAST FLORIDA AVE.,SUITE 400,80210
8684,IRVINE,CA,19900 MACARTHUR BLVD.,SUITE 550,92612,0001404281,"Eledon Pharmaceuticals, Inc.",IRVINE,CA,19900 MACARTHUR BLVD.,SUITE 550,92612
8685,CHESTERFIELD,MO,16600 SWINGLEY RIDGE ROAD,,63017,0000898174,REINSURANCE GROUP OF AMERICA INC,CHESTERFIELD,MO,16600 SWINGLEY RIDGE ROAD,,63017
8686,ROME ITALY,L6,PIAZZALE ENRICO MATTEI 1,,00144,0001002242,ENI SPA,ROME ITALY,L6,PIAZZALE ENRICO MATTEI 1,,00144
8687,SALT LAKE CITY,UT,C/O POULTON & YORDAN,324 SOUTH 400 WEST SUITE 250,84101,0000924805,Freedom Holding Corp.,SALT LAKE CITY,UT,C/O POULTON & YORDAN,324 SOUTH 400 WEST SUITE 250,84101
8688,NEW YORK,NY,C/O PACIFICO CAPITAL LLC,"521 FIFTH AVENUE, 17TH FLOOR",10175,0001858414,Pacifico Acquisition Corp.,NEW YORK,NY,C/O PACIFICO CAPITAL LLC,"521 FIFTH AVENUE, 17TH FLOOR",10175
8689,HONOLULU,HI,3375 KOAPAKA STREET,SUITE G-350,96819,0001172222,HAWAIIAN HOLDINGS INC,HONOLULU,HI,3375 KOAPAKA STREET,SUITE G-350,96819
8690,"BINJIANG DISTRICT, HANGZHOU",F4,"NO. 399, WANGSHANG ROAD",,310051,0001781753,"Youdao, Inc.",HONG KONG,K3,"8/F, CHUANG'S TOWER",30-32 CONNAUGHT ROAD CENTRAL,00000
8691,LONDON,X0,"ARCH 124, SALAMANCA STREET",,SE1 7HX,0001852019,IX Acquisition Corp.,NEWARK,DE,C/O PUGLISI & ASSOCIATES,"850 LIBRARY AVE, SUITE 204",19711
8692,SAN DIEGO,CA,5775 MOREHOUSE DR,,92121,0000804328,QUALCOMM INC/DE,SAN DIEGO,CA,5775 MOREHOUSE DR,,92121
8693,MIAMI,FL,1395 BRICKELL AVE.,SUITE 950,33131,0001843608,Dila Capital Acquisition Corp,MIAMI,FL,1395 BRICKELL AVE.,SUITE 950,33131
8694,IRVINE,CA,2361 MCGAW AVENUE,,92614,0000788920,PRO DEX INC,IRVINE,CA,2361 MCGAW AVENUE,,92614
8695,NEW CANAAN,CT,50 LOCUST AVENUE,,06840,0001854964,"NewLake Capital Partners, Inc.",NEW CANAAN,CT,50 LOCUST AVENUE,,06840
8696,LITTLE ROCK,AR,18000 CANTRELL ROAD,,72223,0001569650,Bank OZK,LITTLE ROCK,AR,18000 CANTRELL ROAD,,72223
8697,MAYVILLE,WI,715 SOUTH STREET,,53050,0001766368,"Mayville Engineering Company, Inc.",MAYVILLE,WI,715 SOUTH STREET,,53050
8698,HOUSTON,TX,"16945 NORTHCHASE DR.,",SUITE 1610,77060,0001726126,Epsilon Energy Ltd.,HOUSTON,TX,"16945 NORTHCHASE DR.,",SUITE 1610,77060
8699,MILAN,L6,"OLGETTINA, NO. 58",,20132,0001838716,Genenta Science S.p.A.,MILAN,L6,"OLGETTINA, NO. 58",,20132
8700,NEW YORK,NY,"680 FIFTH AVENUE, 24TH FLOOR",,10019,0001776738,Columbia Care Inc.,NEW YORK,NY,"680 FIFTH AVENUE, 24TH FLOOR",,10019
8701,JACKSON,MS,308 EAST PEARL STREET,,39201,0000066901,"ENTERGY MISSISSIPPI, LLC",JACKSON,MS,308 EAST PEARL STREET,,39201
8702,HOUSTON,TX,17021 ALDINE WESTFIELD ROAD,,77073,0001701605,Baker Hughes Co,HOUSTON,TX,17021 ALDINE WESTFIELD ROAD,,77073
8703,SHENZHEN,F4,"ROOM 3803, DACHONG INTERNATIONAL CENTRE","39 TONGGU ROAD, NANSHAN DISTRICT",000000,0001755058,ATIF Holdings Ltd,SHENZHEN,F4,"ROOM 3803, DACHONG INTERNATIONAL CENTRE","39 TONGGU ROAD, NANSHAN DISTRICT",000000
8704,NEW YORK,NY,1250 BROADWAY,15TH FLOOR,10001,0001595974,"MAGNITE, INC.",NEW YORK,NY,1250 BROADWAY,15TH FLOOR,10001
8705,CLEVELAND,OH,3201 CARNEGIE AVENUE,,44115-2634,0001368148,"ATHERSYS, INC / NEW",CLEVELAND,OH,3201 CARNEGIE AVENUE,,44115-2634
8706,WILLOW PARK,TX,333 SHOPS BOULEVARD,SUITE 301,76087,0001881487,ProFrac Holding Corp.,WILLOW PARK,TX,333 SHOPS BOULEVARD,SUITE 301,76087
8707,ORLANDO,FL,"3300 S HIAWASSEE RD.,",SUITE 104-105,32835,0001334325,"Coda Octopus Group, Inc.",ORLANDO,FL,"3300 S HIAWASSEE RD.,",SUITE 104-105,32835
8708,MENLO PARK,CA,"1455 ADAMS DRIVE, SUITE 2050",MENLO BUSINESS PARK,94025,0001522602,"CohBar, Inc.",MENLO PARK,CA,"1455 ADAMS DRIVE, SUITE 2050",MENLO BUSINESS PARK,94025
8709,MINNEAPOLIS,MN,333 WASHINGTON AVE. N,SUITE 104,55401,0001025561,SharpLink Gaming Ltd.,MINNEAPOLIS,MN,333 WASHINGTON AVE. N,SUITE 104,55401
8710,NASHVILLE,TN,211 COMMERCE STREET,SUITE 300,37201,0001649749,FB Financial Corp,NASHVILLE,TN,211 COMMERCE STREET,SUITE 300,37201
8711,"SHENZHEN, GUANGDONG",F4,"ROOM 3801, BUILDING A, SUNHOPE E-METRO","NO. 7018 CAI TIAN ROAD, FUTIAN DISTRICT",518000,0001854572,ICZOOM Group Inc.,"SHENZHEN, GUANGDONG",F4,"ROOM 3801, BUILDING A, SUNHOPE E-METRO","NO. 7018 CAI TIAN ROAD, FUTIAN DISTRICT",518000
8712,AUSTIN,TX,P.O. BOX 90608,,78709,0001829042,HumanCo Acquisition Corp.,AUSTIN,TX,P.O. BOX 90608,,78709
8713,NEW YORK,NY,"1177 AVENUE OF THE AMERICAS, 5TH FLOOR",,10036,0001840161,Forest Road Acquisition Corp. II,NEW YORK,NY,"1177 AVENUE OF THE AMERICAS, 5TH FLOOR",,10036
8714,NEWARK,DE,850 LIBRARY AVENUE,SUITE 204,19715,0001825962,Kismet Acquisition Two Corp.,NEWARK,DE,850 LIBRARY AVENUE,SUITE 204,19715
8715,WILMINGTON,DE,100 BELLEVUE PARKWAY,,19809,0001034665,"BLACKROCK MUNIHOLDINGS FUND, INC.",WILMINGTON,DE,100 BELLEVUE PARKWAY,,19809
8716,"WOODLAND HILLS,",CA,"6320 CANOGA AVE., SUITE 1564,",,91367,0001415306,"Valiant Eagle, Inc.","WOODLAND HILLS,",CA,"6320 CANOGA AVE., SUITE 1564,",,91367
8717,BRENTFORD,X0,"GREAT WEST HOUSE, GW1, 17TH FLOOR",GREAT WEST ROAD,TW8 9DF,0001601072,Atlantica Sustainable Infrastructure plc,BRENTFORD,X0,"GREAT WEST HOUSE, GW1, 17TH FLOOR",GREAT WEST ROAD,TW8 9DF
8718,BOSTON,MA,"501 BOYLSTON STREET, SUITE 6102",,02116,0001805087,"GELESIS HOLDINGS, INC.",BOSTON,MA,"501 BOYLSTON STREET, SUITE 6102",,02116
8719,SAN CARLOS,CA,825 INDUSTRIAL ROAD,SUITE 500,94070,0001564824,Allakos Inc.,SAN CARLOS,CA,825 INDUSTRIAL ROAD,SUITE 500,94070
8720,SAN DIEGO,CA,6769 MESA RIDGE RD.,,92121,0001055726,"INOVIO PHARMACEUTICALS, INC.",SAN DIEGO,CA,6769 MESA RIDGE RD.,,92121
8721,NEW YORK,NY,230 PARK AVE,10TH FLOOR,10169,0000913760,StoneX Group Inc.,NEW YORK,NY,230 PARK AVE,10TH FLOOR,10169
8722,ALBANY,NY,418 BROADWAY,2ND FLOOR,12207,0001761911,Nowigence Inc.,ALBANY,NY,418 BROADWAY,2ND FLOOR,12207
8723,NEW YORK,NY,29 WEST 35TH STREET,8TH FLOOR,10001,0001569345,"Sprinklr, Inc.",NEW YORK,NY,29 WEST 35TH STREET,8TH FLOOR,10001
8724,BOSTON,MA,TWO INTERNATIONAL PLACE,,02110,0001288992,Eaton Vance Floating-Rate Income Trust,BOSTON,MA,TWO INTERNATIONAL PLACE,,02110
8725,HAMMOND,LA,400 EAST THOMAS STREET,,70401,0001408534,"First Guaranty Bancshares, Inc.",HAMMOND,LA,400 EAST THOMAS STREET,,70401
8726,WARSAW,IN,345 EAST MAIN STREET,,46580,0001136869,"ZIMMER BIOMET HOLDINGS, INC.",WARSAW,IN,345 EAST MAIN STREET,,46580
8727,NEWPORT BEACH,CA,"888 SAN CLEMENTE DRIVE, SUITE 400",,92660,0001839412,QualTek Services Inc.,NEWPORT BEACH,CA,"888 SAN CLEMENTE DRIVE, SUITE 400",,92660
8728,DUBLIN,CA,5130 HACIENDA DRIVE,,94568,0000745732,"ROSS STORES, INC.",DUBLIN,CA,5130 HACIENDA DRIVE,,94568
8729,HAYWARD,CA,3940 TRUST WAY,,94545,0001808898,Benitec Biopharma Inc.,HAYWARD,CA,3940 TRUST WAY,,94545
8730,VANCOUVER,A1,578 - 999 CANADA PLACE,,V6C 3E1,0000865400,GUANAJUATO SILVER CO LTD,VANCOUVER,A1,578 - 999 CANADA PLACE,,V6C 3E1
8731,WALTHAM,MA,930 WINTER STREET,SUITE M-500,02451,0001798749,"Aerovate Therapeutics, Inc.",WALTHAM,MA,930 WINTER STREET,SUITE M-500,02451
8732,LEAWOOD,KS,6363 COLLEGE BOULEVARD,SUITE 100A,66211,0001490286,"Tortoise Midstream Energy Fund, Inc.",LEAWOOD,KS,6363 COLLEGE BOULEVARD,SUITE 100A,66211
8733,NEW YORK,NY,"51 W 52ND STREET,",7TH FLOOR,10019-6163,0001314052,ANAVEX LIFE SCIENCES CORP.,NEW YORK,NY,"51 W 52ND STREET,",7TH FLOOR,10019-6163
8734,HOUSTON,TX,17 S. BRIAR HOLLOW LN.,,77027,0000002178,"ADAMS RESOURCES & ENERGY, INC.",HOUSTON,TX,P O BOX 844,,77001
8735,CORVALLIS,OR,1110 NE CIRCLE BLVD,,97330,0001761696,Crown Electrokinetics Corp.,CORVALLIS,OR,1110 NE CIRCLE BLVD,,97330
8736,PARIS,I0,42 AVENUE DE FRIEDLAND,,75008,0001127055,VIVENDI,PARIS,I0,42 AVENUE DE FRIEDLAND,,75008
8737,VANCOUVER,A1,1200 WATERFRONT CENTRE,"200 BURRARD STREET, P.O. BOX 48600",V7X 1T2,0001882839,WonderFi Technologies Inc.,VANCOUVER,A1,1200 WATERFRONT CENTRE,"200 BURRARD STREET, P.O. BOX 48600",V7X 1T2
8738,GRAND CAYMAN,E9,"C/O MAPLES CORPORATE SERVICES, LIMITED","PO BOX 309, UGLAND HOUSE",KY1-1104,0001807794,Credo Technology Group Holding Ltd,GRAND CAYMAN,E9,"C/O MAPLES CORPORATE SERVICES, LIMITED","PO BOX 309, UGLAND HOUSE",KY1-1104
8739,NEWARK,CA,7373 GATEWAY BLVD.,,94560,0001811210,"Lucid Group, Inc.",NEWARK,CA,7373 GATEWAY BLVD.,,94560
8740,KATY,TX,23501 CINCO RANCH BLVD,SUITE H120-#325,77494,0001741220,CW Petroleum Corp,KATY,TX,23501 CINCO RANCH BLVD,SUITE H120-#325,77494
8741,MIAMI,FL,"10801 NW 97TH STREET, SUITE 09",,33178,0001274032,"Simply, Inc.",MIAMI,FL,"10801 NW 97TH STREET, SUITE 09",,33178
8742,HOUSTON,TX,3505 WEST SAM HOUSTON PARKWAY NORTH,SUITE 300,77043,0001282648,BATTALION OIL CORP,HOUSTON,TX,3505 WEST SAM HOUSTON PARKWAY NORTH,SUITE 300,77043
8743,COEUR D'ALENE,ID,101 EAST LAKESIDE AVENUE,,83814,0001288750,Timberline Resources Corp,COEUR D'ALENE,ID,101 EAST LAKESIDE AVENUE,,83814
8744,PORTLAND,OR,"6650 SW REDWOOD LANE, SUITE 210",,97224,0001822966,NUSCALE POWER Corp,PORTLAND,OR,"6650 SW REDWOOD LANE, SUITE 210",,97224
8745,SAN JOSE,CA,345 PARK AVE,,95110-2704,0000796343,ADOBE INC.,SAN JOSE,CA,345 PARK AVENUE,,95110-2704
8746,GRAND CAYMAN,E9,PO BOX 309 UGLAND HOUSE,,KY1-1104,0001856774,Games & Esports Experience Acquisition Corp.,GRAND CAYMAN,E9,PO BOX 309 UGLAND HOUSE,,KY1-1104
8747,LONDON,X0,SEA CONTAINERS,18 UPPER GROUND,SE1 9GL,0000806968,WPP plc,LONDON,X0,SEA CONTAINERS,18 UPPER GROUND,SE1 9GL
8748,SANTA CLARA,CA,"4500 GREAT AMERICA PARKWAY, PMB 38",STE 100,95054,0001509786,Guskin Gold Corp.,SANTA CLARA,CA,"4500 GREAT AMERICA PARKWAY, PMB 38",STE 100,95054
8749,BOSTON HEIGHTS,OH,51 EAST HINES HILL ROAD,,44236,0001875444,"Arhaus, Inc.",BOSTON HEIGHTS,OH,51 EAST HINES HILL ROAD,,44236
8750,ATHENS,J3,PENDELIS 26,PALAIO FALIRO,175 64,0001869467,OceanPal Inc.,ATHENS,J3,PENDELIS 26,PALAIO FALIRO,175 64
8751,GILBERT,AZ,226 N. COTTONWOOD DR.,,85234,0001935092,"Cyber Enviro-Tech, Inc.",GILBERT,AZ,226 N. COTTONWOOD DR.,,85234
8752,MELVILLE,NY,110 MARCUS DR,,11747,0000355019,FONAR CORP,MELVILLE,NY,110 MARCUS DRIVE,,11747
8753,CONCORD,A6,467 EDGELEY BLVD,UNIT 2,L4K 4E9,0001122742,"FEARLESS FILMS, INC.",CONCORD,A6,467 EDGELEY BLVD,UNIT 2,L4K 4E9
8754,SAN JOSE,CA,2300 ORCHARD PKWY,,95131,0001580808,"A10 Networks, Inc.",SAN JOSE,CA,2300 ORCHARD PKWY,,95131
8755,COLUMBIA,MD,"6940 COLUMBIA GATEWAY DRIVE, SUITE 470",,21046-3308,0000944480,GSE SYSTEMS INC,COLUMBIA,MD,"6940 COLUMBIA GATEWAY DRIVE, SUITE 470",,21046-3308
8756,GREAT WORLD CITY,U0,"1, KIM SENG PROMENADE","#10-01, EAST TOWER",237994,0001867183,Golden Ventures Acquisition Corp,GREAT WORLD CITY,U0,"1, KIM SENG PROMENADE","#10-01, EAST TOWER",237994
8757,TAMPA,FL,3405 W. DR. MARTIN LUTHER KING JR. BLVD.,SUITE 101,33607,0000022872,"Advanzeon Solutions, Inc.",TAMPA,FL,3405 W. DR. MARTIN LUTHER KING JR. BLVD.,SUITE 101,33607
8758,CARSON CITY,NV,711 S CARSON STREEET,SUITE 4,89701,0001853825,THUMZUP MEDIA Corp,CARSON CITY,NV,711 S CARSON STREEET,SUITE 4,89701
8759,SANTA BARBARA,CA,"10 E. YANONALI, SUITE 36",,93101,0001481028,"SUNHYDROGEN, INC.",SANTA BARBARA,CA,"10 E. YANONALI, SUITE 36",,93101
8760,LOS ANGELES,CA,633 W. 5TH STREET,SUITE 2826,90071,0001078799,"Marijuana Co of America, Inc.",LOS ANGELES,CA,633 W. 5TH STREET,SUITE 2826,90071
8761,PENNSAUKEN,NJ,2500 MCCLELLAN AVENUE,STE 350,08109-4613,0000700841,"RCM TECHNOLOGIES, INC.",PENNSAUKEN,NJ,2500 MCCLELLAN AVENUE,STE 350,08109-4613
8762,NEW YORK,NY,1185 AVENUE OF THE AMERICAS,SUITE 301,10036,0001907730,Yotta Acquisition Corp,NEW YORK,NY,1185 AVENUE OF THE AMERICAS,SUITE 301,10036
8763,NEW YORK,NY,500 PARK AVENUE,3RD FLOOR,10022,0001418076,SLR Investment Corp.,NEW YORK,NY,500 PARK AVENUE,3RD FLOOR,10022
8764,GOLDEN VALLEY,MN,5500 WAYZATA BLVD,SUITE 1600,55416,0001609550,"Inspire Medical Systems, Inc.",GOLDEN VALLEY,MN,5500 WAYZATA BLVD,SUITE 1600,55416
8765,HOUSTON,TX,10344 SAM HOUSTON PARK DRIVE,SUITE 300,77064,0001401257,"FORUM ENERGY TECHNOLOGIES, INC.",HOUSTON,TX,10344 SAM HOUSTON PARK DRIVE,SUITE 300,77064
8766,VANCOUVER,A1,750 - 1095 WEST PENDER STREET,,V6E 2M6,0001715611,BODY & MIND INC.,VANCOUVER,A1,750 - 1095 WEST PENDER STREET,,V6E 2M6
8767,BASSETT,VA,PO BOX 626,,24055,0000010329,BASSETT FURNITURE INDUSTRIES INC,BASSETT,VA,MAIN ST,P O BOX 626,24055
8768,"SHENZHEN, GUANGDONG",F4,"SUITE 2016, KING BUILDING","NO.5002 SHENNAN E ROAD, LUOHU DISTRICT",518001,0001831833,Building DreamStar Technology Inc.,"SHENZHEN, GUANGDONG",F4,"SUITE 2016, KING BUILDING","NO.5002 SHENNAN E ROAD, LUOHU DISTRICT",518001
8769,CONWAY,AR,719 HARKRIDER,,72032,0001331520,HOME BANCSHARES INC,CONWAY,AR,719 HARKRIDER,,72032
8770,WATERTOWN,MA,480 PLEASANT STREET,,02472,0001816613,Markforged Holding Corp,WATERTOWN,MA,480 PLEASANT STREET,,02472
8771,NEW HARTFORD,NY,PAR TECHNOLOGY PARK,8383 SENECA TURNPIKE,13413,0000708821,PAR TECHNOLOGY CORP,NEW HARTFORD,NY,8383 SENECA TURNPIKE,,13413
8772,HOUSTON,TX,3730 KIRBY DRIVE,SUITE 1200,77098,0001358403,"BELLICUM PHARMACEUTICALS, INC",HOUSTON,TX,3730 KIRBY DRIVE,SUITE 1200,77098
8773,COLUMBUS,GA,1111 BAY AVENUE,STE 500,31901,0000018349,SYNOVUS FINANCIAL CORP,COLUMBUS,GA,1111 BAY AVENUE,STE 500,31901
8774,BEIJING,F4,"ROOM 1503, BUILDING C, GALAXY SOHO","CHAONEI STREET, DONGCHENG DISTRICT",100010,0001633441,Secoo Holding Ltd,BEIJING,F4,"ROOM 1503, BUILDING C, GALAXY SOHO","CHAONEI STREET, DONGCHENG DISTRICT",100010
8775,NEWBURY PARK,CA,3623 OLD CONEJO ROAD,SUITE 207,91320,0001477081,Kolibri Global Energy Inc.,NEWBURY PARK,CA,3623 OLD CONEJO ROAD,SUITE 207,91320
8776,NEW YORK,NY,"777 THIRD AVENUE, 37TH FLOOR",,10017,0001883814,LEGATO MERGER CORP. II,NEW YORK,NY,"777 THIRD AVENUE, 37TH FLOOR",,10017
8777,VALCOURT,A8,726 SAINT-JOSEPH STREET,,J0E 2L0,0001748797,BRP Inc.,VALCOURT,A8,726 SAINT-JOSEPH STREET,,J0E 2L0
8778,NEW YORK,NY,"30 WALL STREET, FLOOR 8",,10005,0001855621,"Propellus, Inc.",NEW YORK,NY,"30 WALL STREET, FLOOR 8",,10005
8779,ALBUQUERQUE,NM,3901 MIDWAY PLACE NE,,87109,0001820721,"Array Technologies, Inc.",ALBUQUERQUE,NM,3901 MIDWAY PLACE NE,,87109
8780,DUBUQUE,IA,1398 CENTRAL AVE,,52001,0000920112,HEARTLAND FINANCIAL USA INC,DUBUQUE,IA,1398 CENTRAL AVE,,52001
8781,VANCOUVER,A1,1610 - 777 DUNSMUIR STREET,,V7Y 1K4,0000873612,Aben Resources Ltd.,VANCOUVER,A1,1610 - 777 DUNSMUIR STREET,,V7Y 1K4
8782,MIAMI BEACH,FL,801 S POINTE DRIVE SUITE TH-1,,33139,0001759186,Bull Horn Holdings Corp.,MIAMI BEACH,FL,801 S POINTE DRIVE SUITE TH-1,,33139
8783,WILMINGTON,DE,100 BELLEVUE PARKWAY,MUTUAL FUND DEPARTMENT,19809,0001137393,BLACKROCK MUNICIPAL INCOME TRUST,WILMINGTON,DE,100 BELLEVUE PARKWAY,MUTUAL FUND DEPARTMENT,19809
8784,WOODSTOCK,NY,10 DIXON AVENUE,,12498,0001519505,Miller/Howard High Income Equity Fund,WOODSTOCK,NY,10 DIXON AVENUE,,12498
8785,NEW YORK,NY,1271 AVENUE OF THE AMERICAS,,10020,0001282977,GREENHILL & CO INC,NEW YORK,NY,1271 AVENUE OF THE AMERICAS,,10020
8786,NEW YORK,NY,"305 BROADWAY, FLOOR 7",,10007,0001885493,"Elate Group, Inc.",NEW YORK,NY,"305 BROADWAY, FLOOR 7",,10007
8787,DANVERS,MA,22 CHERRY HILL DR,,01923,0000815094,ABIOMED INC,DANVERS,MA,22 CHERRY HILL DRIVE,,01923
8788,MELVILLE,NY,135 DURYEA RD,,11747,0001000228,HENRY SCHEIN INC,MELVILLE,NY,135 DURYEA RD,,11747
8789,HAMILTON HM 08,D0,"PAR LA VILLE PLACE, 4TH FLOOR",14 PAR LA VILLE ROAD,00000,0001029145,Golden Ocean Group Ltd,HAMILTON HM 08,D0,"PAR LA VILLE PLACE, 4TH FLOOR",14 PAR LA VILLE ROAD,00000
8790,MAPLETREE BUSINESS CITY,U0,30 PASIR PANJANG ROAD #15-31A,,117440,0001530238,JOYY Inc.,MAPLETREE BUSINESS CITY,U0,30 PASIR PANJANG ROAD #15-31A,,117440
8791,DENVER,CO,1700 BROADWAY,SUITE 1230,80290,0000102426,"SRH Total Return Fund, Inc.",DENVER,CO,1700 BROADWAY,SUITE 1230,80290
8792,SPOKANE,WA,4424 N. SULLIVAN ROAD,,99216,0000719733,KEY TRONIC CORP,SPOKANE,WA,P O BOX 14687,,99214
8793,HERZLIYA,L3,1 SAPIR ST.,,4685205,0001866907,Keter Group SA,HERZLIYA,L3,1 SAPIR ST.,,4685205
8794,AUSTIN,TX,6500 RIVER PLACE BLVD.,"BUILDING 7, SUITE 250",78730,0001178697,SONIM TECHNOLOGIES INC,AUSTIN,TX,6500 RIVER PLACE BLVD.,"BUILDING 7, SUITE 250",78730
